cardId,topicId
02KI1HUFGiWcv6FkMmep,11
045wIp2v49OEPPe66tfk,11
04BjHtSekKpinoiNI9OM,11
04vd4EvDHZzjgSSL0qdA,11
08IRdZdX623gfVYtzUAF,11
0AW8CwZd2EHeagIku4Ok,11
0GjLfzSderfUggEWTTdw,11
0HgGmsuxZR0pQNboXA1E,11
0I7LcyL1t4ob3eHUIvOY,11
0JlA7r1V1tE0BlomHSFa,11
0MYap1tvKjM3R6IDO0uI,11
0ParzZOvD2NYMvXEpZfV,11
0ZZwKS1kw16BNhewH7pK,11
0bNbOHZZpETgDCuM2n8e,11
0g6k46shw4gHWmKKN73i,11
0i3E03HB6Zn2GlPmI0fQ,11
0jIomRPF7CbVF5NLH0UU,11
0mIEa8QeOW1BlrHqBGna,11
0nrfgkhY4fnHU33DYAhx,11
0zHBMwrzVio9rsw8Vs8F,11
19sVxoSjtpFuxaF1SLk2,11
1B52QTioybMbwqfyyZ1c,11
1BmbqsJrhC6gO4QOQlUm,11
1KQkXYKxbgFcfNq2BQ7q,11
1LQEOdhX4f2XT4VxLmaV,11
1OyHVaxDkDN5O0CqLEdR,11
1aiaxwVeXneuBQeTXZ4l,11
1bGyvGxc2pIVT4Inq75w,11
1dsQXm2n0T6VBKWyvwNM,11
1fqeorqxGczITtRY508I,11
1ozqlLaXpNxHBkcUzyhw,11
1pvl4VaWhsDOgS6AAysA,11
1ujGIF5FtjAloevbqdaD,11
1zBFNnkrfovWhrArp6Sp,11
25mKCCzhtuNYN8mJXLZy,11
272fSNKXWI5eh1BxDlW1,11
2LPNzW1gG7PWaud3lROh,11
2TDh4OmGnmjOhmBBsfIK,11
2azpzN4M25nItHtUsuW4,11
2d8EzigEaF9KjXEhCsBy,11
2ekMfxmpAV3oOkPH3JAg,11
2nnSxvYIkY55ssAEsbOX,11
33GgVdza8qhXZbSpazLW,11
371nRUIT9RwudXldotnv,11
38ezHcqXI4ROADy4uLlz,11
3GfO8xENJYxKHuba6n9B,11
3N0bWjsysJBDgJ8wIA7i,11
3NmToHbemREnklKoLEv1,11
3dA4lLcTJMMQJ18BoKmX,11
3eqDiI4qiz3pgnWODH7K,11
3hWRalQrMjys0AzXGewI,11
3n0uDZ3iTD0y7SeuUG39,11
3n5VK4vys7AlMhSqBSap,11
3nFo2PNpNCdlQz2fRHOo,11
3sL1Saqy05rTJxGIPf0q,11
3vCooHD5gbH3NYNlljWb,11
3wa8jmlliBa1qhow7NCm,11
3ycR7bv6VdxwxHgGJKr7,11
40QKrWdi2gRWHRHMgR5l,11
44nw8awQipu6XqICTRzc,11
4ABrZ9dYCQjA2yOQUIFF,11
4AlatNWkyvV54ud5FSS9,11
4BHk6LyV1pvIeuAddIZ4,11
4ENXNNUkGAOnNoesUUGS,11
4HEzXh3sHWD4UEetK7io,11
4J8T6jOjCB8uqjW1My9Y,11
4LlJlcRXt6Vxi0lkm627,11
4MnPChu4q8VgjGjdWgTc,11
4T4IJsEbelcKJj1LE2gm,11
4UjqMFAfrgRO7j6DDiWE,11
4Y2Y5t8oyfWWguaYgmld,11
4axQc05rlXs38qX5Ofvq,11
